Charades_v1_480,Q18ZQ.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,05ZNF.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.87 fps, 44100 Hz
Charades_v1_480,M8OYC.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,MQGVS.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.04 fps, 44100 Hz
Charades_v1_480,7S3KW.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,JJGEU.mp4, 480x360 [SAR 1:1 DAR 4:3], 15 fps, 44100 Hz
Charades_v1_480,B3HCE.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,PQMTB.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,VUSFK.mp4, 360x480 [SAR 1:1 DAR 3:4], 29.97 fps, 44100 Hz
Charades_v1_480,MWX5K.mp4, 480x270 [SAR 1:1 DAR 16:9], 21.83 fps, 44100 Hz
Charades_v1_480,LZ2Y4.mp4, 320x480 [SAR 1:1 DAR 2:3], 6.78 fps, 44100 Hz
Charades_v1_480,VKKIQ.mp4, 360x480 [SAR 1:1 DAR 3:4], 10 fps, 44100 Hz
Charades_v1_480,MI0UK.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,YQ6Z6.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.07 fps, 44100 Hz
Charades_v1_480,2O6RB.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,FGBXJ.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,OEUGC.mp4, 480x360 [SAR 1:1 DAR 4:3], 30.01 fps, 44100 Hz
Charades_v1_480,SU8PN.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,6UU5T.mp4, 480x270 [SAR 1:1 DAR 16:9], 15 fps, 44100 Hz
Charades_v1_480,6PYRZ.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,AIOTI.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,PSPMA.mp4, 270x480 [SAR 406:405 DAR 203:360], 16.55 fps, 44100 Hz
Charades_v1_480,HFTEO.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.64 fps, 44100 Hz
Charades_v1_480,K87AC.mp4, 480x270 [SAR 1:1 DAR 16:9], 25 fps, 44100 Hz
Charades_v1_480,2QYZA.mp4, 480x270 [SAR 1:1 DAR 16:9], 17.74 fps, 48000 Hz
Charades_v1_480,N0NLE.mp4, 270x480, 29.97 fps, 44100 Hz
Charades_v1_480,N1FIJ.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 20.22 fps, 44100 Hz
Charades_v1_480,5V8OI.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,XJFMW.mp4, 270x480 [SAR 406:405 DAR 203:360], 23.98 fps, 44100 Hz
Charades_v1_480,I0588.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,7UV4O.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,DGMDT.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.67 fps, 48000 Hz
Charades_v1_480,Z5FNI.mp4, 360x480 [SAR 1:1 DAR 3:4], 27.21 fps, 44100 Hz
Charades_v1_480,RM5IC.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,PVCFQ.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,NP0YG.mp4, 270x480 [SAR 406:405 DAR 203:360], 16.64 fps, 44100 Hz
Charades_v1_480,P6SOI.mp4, 270x480 [SAR 1:1 DAR 9:16], 22.83 fps, 48000 Hz
Charades_v1_480,7NW4V.mp4, 480x318 [SAR 1:1 DAR 80:53], 30 fps, 44100 Hz
Charades_v1_480,OVFVJ.mp4, 320x480 [SAR 1:1 DAR 2:3], 7.49 fps, 44100 Hz
Charades_v1_480,DP5S8.mp4, 480x320 [SAR 1:1 DAR 3:2], 24.92 fps, 44100 Hz
Charades_v1_480,UTR56.mp4, 480x360 [SAR 1:1 DAR 4:3], 30.01 fps, 44100 Hz
Charades_v1_480,NJZR7.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,0R6K4.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,DNXBJ.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,2TAT3.mp4, 320x480 [SAR 1:1 DAR 2:3], 17 fps, 48000 Hz
Charades_v1_480,9O0NP.mp4, 320x480 [SAR 1:1 DAR 2:3], 6.12 fps, 44100 Hz
Charades_v1_480,4UW2K.mp4, 480x360, 24 fps, 48000 Hz
Charades_v1_480,LFPWI.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.77 fps, 44100 Hz
Charades_v1_480,H0P5D.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,1BUFQ.mp4, 480x360 [SAR 1:1 DAR 4:3], 15 fps, 44100 Hz
Charades_v1_480,ZIP18.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,E0U3R.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.95 fps, 44100 Hz
Charades_v1_480,0RP6B.mp4, 480x318 [SAR 1:1 DAR 80:53], 30 fps, 44100 Hz
Charades_v1_480,PTA97.mp4, 480x270 [SAR 1:1 DAR 16:9], 25 fps, 44100 Hz
Charades_v1_480,LXSIG.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,ZS7X6.mp4, 360x480 [SAR 1:1 DAR 3:4], 29.97 fps, 44100 Hz
Charades_v1_480,GIC6A.mp4, 480x270 [SAR 1:1 DAR 16:9], 27.82 fps, 48000 Hz
Charades_v1_480,RIE30.mp4, 480x360 [SAR 1:1 DAR 4:3], 15 fps, 44100 Hz
Charades_v1_480,4CSXJ.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,AX4EW.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,OM5R4.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.07 fps, 44100 Hz
Charades_v1_480,F6A4W.mp4, 360x480 [SAR 1:1 DAR 3:4], 9.99 fps, 44100 Hz
Charades_v1_480,O6T0T.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,RZLAZ.mp4, 360x480 [SAR 1:1 DAR 3:4], 29.67 fps, 44100 Hz
Charades_v1_480,HH0VG.mp4, 480x270 [SAR 1:1 DAR 16:9], 23.98 fps, 48000 Hz
Charades_v1_480,Z1EEF.mp4, 270x480 [SAR 1:1 DAR 9:16], 29.97 fps, 44100 Hz
Charades_v1_480,XYGU1.mp4, 480x270, 29.97 fps, 44100 Hz
Charades_v1_480,2I871.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,VVQYB.mp4, 270x480 [SAR 404:405 DAR 101:180], 29.97 fps, 44100 Hz
Charades_v1_480,BKEYX.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.04 fps, 44100 Hz
Charades_v1_480,L4184.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 29.91 fps, 44100 Hz
Charades_v1_480,TCCQL.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,W6AXV.mp4, 360x480 [SAR 1:1 DAR 3:4], 29.79 fps, 44100 Hz
Charades_v1_480,8D4ZT.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,V3SOF.mp4, 480x270 [SAR 1:1 DAR 16:9], 10.53 fps, 44100 Hz
Charades_v1_480,QZZ0T.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,EI1W1.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.92 fps, 48000 Hz
Charades_v1_480,M4Z0M.mp4, 480x270 [SAR 1:1 DAR 16:9], 14.84 fps, 44100 Hz
Charades_v1_480,I9CDV.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 29.97 fps, 44100 Hz
Charades_v1_480,758T4.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.86 fps, 44100 Hz
Charades_v1_480,SF6NU.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,EV4HN.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,07AWM.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.95 fps, 44100 Hz
Charades_v1_480,MDXF4.mp4, 270x480 [SAR 404:405 DAR 101:180], 29.97 fps, 44100 Hz
Charades_v1_480,9ILM6.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,ARN8U.mp4, 270x480, 29.97 fps, 44100 Hz
Charades_v1_480,XIUQJ.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.05 fps, 44100 Hz
Charades_v1_480,FKJ9L.mp4, 480x360, 24 fps, 48000 Hz
Charades_v1_480,ZYGYS.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.38 fps, 44100 Hz
Charades_v1_480,7229M.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,L5ZAB.mp4, 480x270 [SAR 1:1 DAR 16:9], 29 fps, 44100 Hz
Charades_v1_480,TU3IG.mp4, 360x480 [SAR 1:1 DAR 3:4], 10 fps, 44100 Hz
Charades_v1_480,59CDL.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,OEHJD.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 29.93 fps, 44100 Hz
Charades_v1_480,8KM5Q.mp4, 360x480 [SAR 1:1 DAR 3:4], 25 fps, 44100 Hz
Charades_v1_480,1H6PS.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,5J9HP.mp4, 360x480 [SAR 1:1 DAR 3:4], 24.66 fps, 44100 Hz
Charades_v1_480,SYUNE.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,42MIK.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,LD9EC.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,L0NFK.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,Y1FKP.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.62 fps, 44100 Hz
Charades_v1_480,NU09Z.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,MDZVU.mp4, 480x360, 24 fps, 48000 Hz
Charades_v1_480,7ELBG.mp4, 320x480 [SAR 1:1 DAR 2:3], 10.27 fps, 44100 Hz
Charades_v1_480,TAZGF.mp4, 270x480, 59.94 fps, 44100 Hz
Charades_v1_480,S572F.mp4, 480x270 [SAR 1:1 DAR 16:9], 23.25 fps, 44100 Hz
Charades_v1_480,ENDIE.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,OQU53.mp4, 360x480 [SAR 1:1 DAR 3:4], 9.97 fps, 44100 Hz
Charades_v1_480,PVZ3C.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,MEG11.mp4, 270x480, 30 fps, 48000 Hz
Charades_v1_480,ORAT0.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,MXW4N.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.67 fps, 44100 Hz
Charades_v1_480,G5IHT.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,ATJEO.mp4, 360x480 [SAR 1:1 DAR 3:4], 25 fps, 44100 Hz
Charades_v1_480,NUMAW.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,TEV5K.mp4, 320x480 [SAR 1:1 DAR 2:3], 6.11 fps, 44100 Hz
Charades_v1_480,06X2V.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.37 fps, 44100 Hz
Charades_v1_480,LFBCQ.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,82XPD.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 25 fps, 44100 Hz
Charades_v1_480,AZC1I.mp4, 480x360 [SAR 1:1 DAR 4:3], 15.08 fps, 44100 Hz
Charades_v1_480,9CCDY.mp4, 480x272 [SAR 2159:2160 DAR 127:72], 30 fps, 44100 Hz
Charades_v1_480,EI5M3.mp4, 480x360 [SAR 1:1 DAR 4:3], 30.01 fps, 44100 Hz
Charades_v1_480,AA104.mp4, 270x480 [SAR 406:405 DAR 203:360], 8.27 fps, 44100 Hz
Charades_v1_480,FXBGY.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,L67UB.mp4, 480x360 [SAR 1:1 DAR 4:3], 30 fps, 44100 Hz
Charades_v1_480,38NUC.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,WHRBU.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,M1P59.mp4, 270x480 [SAR 1:1 DAR 9:16], 29.97 fps, 44100 Hz
Charades_v1_480,IDXZK.mp4, 480x270 [SAR 1:1 DAR 16:9], 24.02 fps, 44100 Hz
Charades_v1_480,2YK65.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,L9J5I.mp4, 480x318 [SAR 1:1 DAR 80:53], 30 fps, 44100 Hz
Charades_v1_480,J8781.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,OINMN.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,7ARCD.mp4, 480x320 [SAR 1:1 DAR 3:2], 14.07 fps, 44100 Hz
Charades_v1_480,V25D1.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,VU760.mp4, 480x270 [SAR 1:1 DAR 16:9], 14.99 fps, 44100 Hz
Charades_v1_480,KU25F.mp4, 360x480, 24 fps, 48000 Hz
Charades_v1_480,7SNIO.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,7W1ZI.mp4, 480x268 [SAR 268:267 DAR 160:89], 28.97 fps, 44100 Hz
Charades_v1_480,5LFGO.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 48000 Hz
Charades_v1_480,194WK.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,XEEDH.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,P6S89.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 30 fps, 44100 Hz
Charades_v1_480,O2VP8.mp4, 360x480 [SAR 1:1 DAR 3:4], 25 fps, 44100 Hz
Charades_v1_480,97LN9.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.67 fps, 44100 Hz
Charades_v1_480,W8H3C.mp4, 270x480 [SAR 406:405 DAR 203:360], 24.84 fps, 44100 Hz
Charades_v1_480,1KC11.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,FAO7J.mp4, 360x480, 30 fps, 48000 Hz
Charades_v1_480,7C9RP.mp4, 360x480 [SAR 1:1 DAR 3:4], 25 fps, 44100 Hz
Charades_v1_480,STAZI.mp4, 270x480 [SAR 406:405 DAR 203:360], 14.04 fps, 44100 Hz
Charades_v1_480,GFH4E.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,MSW4E.mp4, 480x270, 29.97 fps, 48000 Hz
Charades_v1_480,LZUAY.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,90L0S.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,QZZPS.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.86 fps, 44100 Hz
Charades_v1_480,BVN7J.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.33 fps, 44100 Hz
Charades_v1_480,U2FA5.mp4, 480x360 [SAR 1:1 DAR 4:3], 15.07 fps, 44100 Hz
Charades_v1_480,0NJ26.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.97 fps, 44100 Hz
Charades_v1_480,FGY8R.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.88 fps, 44100 Hz
Charades_v1_480,MVL2O.mp4, 360x480 [SAR 1:1 DAR 3:4], 29.97 fps, 44100 Hz
Charades_v1_480,ZF5CP.mp4, 270x480 [SAR 404:405 DAR 101:180], 24 fps, 44100 Hz
Charades_v1_480,0SE6A.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,OHS4T.mp4, 480x360 [SAR 1:1 DAR 4:3], 30.01 fps, 44100 Hz
Charades_v1_480,NSUHV.mp4, 320x480 [SAR 1:1 DAR 2:3], 16 fps, 44100 Hz
Charades_v1_480,DQEC3.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,Y9JWG.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,5IPJA.mp4, 320x480 [SAR 1:1 DAR 2:3], 17.63 fps, 44100 Hz
Charades_v1_480,XIYIK.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,G71O7.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.83 fps, 44100 Hz
Charades_v1_480,FDDDG.mp4, 480x270 [SAR 1:1 DAR 16:9], 26.17 fps, 44100 Hz
Charades_v1_480,E0MK4.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.90 fps, 44100 Hz
Charades_v1_480,Z6B6S.mp4, 270x480 [SAR 1216:1215 DAR 76:135], 24 fps, 44100 Hz
Charades_v1_480,AXIW1.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.36 fps, 44100 Hz
Charades_v1_480,S1XW9.mp4, 270x480 [SAR 404:405 DAR 101:180], 30 fps, 44100 Hz
Charades_v1_480,7ZUE1.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,F87XT.mp4, 480x270 [SAR 1:1 DAR 16:9], 24 fps, 44100 Hz
Charades_v1_480,IBIWF.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,QMWTF.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,USNON.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,F44A2.mp4, 270x480 [SAR 406:405 DAR 203:360], 23.98 fps, 44100 Hz
Charades_v1_480,KC863.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,I7DGO.mp4, 480x270, 29.97 fps, 44100 Hz
Charades_v1_480,5GG5W.mp4, 480x270, 29.97 fps, 48000 Hz
Charades_v1_480,9GUX4.mp4, 480x270 [SAR 1:1 DAR 16:9], 25 fps, 44100 Hz
Charades_v1_480,YMT5U.mp4, 480x270 [SAR 1:1 DAR 16:9], 16.67 fps, 44100 Hz
Charades_v1_480,ZP8AL.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,M5C5L.mp4, 480x360 [SAR 1:1 DAR 4:3], 29.97 fps, 44100 Hz
Charades_v1_480,RK9II.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,F8TWE.mp4, 480x270 [SAR 1:1 DAR 16:9], 17.67 fps, 44100 Hz
Charades_v1_480,H4M0N.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 44100 Hz
Charades_v1_480,EZ7X3.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.18 fps, 44100 Hz
Charades_v1_480,O1PD3.mp4, 270x480 [SAR 406:405 DAR 203:360], 16.66 fps, 44100 Hz
Charades_v1_480,CC0PK.mp4, 480x264 [SAR 1:1 DAR 20:11], 22.26 fps, 44100 Hz
Charades_v1_480,VEKTO.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,53HOB.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,2FW38.mp4, 360x480 [SAR 1:1 DAR 3:4], 30 fps, 48000 Hz
Charades_v1_480,GVX7E.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,9MOH2.mp4, 270x480 [SAR 406:405 DAR 203:360], 25 fps, 44100 Hz
Charades_v1_480,ONMCW.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 29.97 fps, 44100 Hz
Charades_v1_480,TTLFX.mp4, 270x480 [SAR 406:405 DAR 203:360], 29.86 fps, 44100 Hz
Charades_v1_480,QGQGZ.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,MI7WU.mp4, 480x270 [SAR 1:1 DAR 16:9], 30 fps, 44100 Hz
Charades_v1_480,OZ02A.mp4, 270x480 [SAR 404:405 DAR 101:180], 29.97 fps, 44100 Hz
Charades_v1_480,STAFD.mp4, 480x270 [SAR 1:1 DAR 16:9], 25 fps, 44100 Hz
Charades_v1_480,SHTLT.mp4, 480x270 [SAR 1:1 DAR 16:9], 25 fps, 44100 Hz
Charades_v1_480,3NOML.mp4, 480x270 [SAR 1:1 DAR 16:9], 29.97 fps, 44100 Hz
Charades_v1_480,20LDB.mp4, 320x480 [SAR 1:1 DAR 2:3], 6.12 fps, 44100 Hz
Charades_v1_480,MBYRJ.mp4, 480x272 [SAR 2159:2160 DAR 127:72], 24 fps, 44100 Hz
Charades_v1_480,9C4JX.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 44100 Hz
Charades_v1_480,UEVVN.mp4, 270x480 [SAR 406:405 DAR 203:360], 30 fps, 44100 Hz
Charades_v1_480,T8A9E.mp4, 270x480 [SAR 1:1 DAR 9:16], 29.87 fps, 44100 Hz
Charades_v1_480,XAX61.mp4, 480x270 [SAR 1281:1280 DAR 427:240], 25 fps, 44100 Hz
Charades_v1_480,TVTV7.mp4, 480x360 [SAR 1:1 DAR 4:3], 25 fps, 48000 Hz
